Player,Rk,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary
Giannis Antetokounmpo,19.0,15-16,PG,20.0,MIL,79.33333333333333,57.666666666666664,30.433333333333326,4.433333333333334,9.233333333333333,0.4703333333333333,0.3333333333333333,1.1333333333333333,0.25433333333333336,4.133333333333333,8.1,0.496,0.49300000000000005,2.9000000000000004,3.9999999999999996,0.7160000000000001,1.2,5.033333333333333,6.266666666666667,2.9333333333333336,0.9666666666666668,1.0666666666666667,2.1,2.8333333333333335,12.133333333333333,24157303.0
Gordon Hayward,189.0,15-16,SF,24.0,UTA,77.66666666666667,77.66666666666667,35.666666666666664,6.133333333333333,14.233333333333334,0.4303333333333333,1.5,4.333333333333333,0.33899999999999997,4.633333333333334,9.9,0.4703333333333333,0.48233333333333334,4.6000000000000005,5.666666666666667,0.8173333333333334,0.7666666666666666,4.233333333333333,5.0,4.333333333333333,1.3333333333333333,0.39999999999999997,2.6666666666666665,2.0,18.400000000000002,29727900.0
Gorgui Dieng,117.0,15-16,C,25.0,MIN,71.66666666666667,34.333333333333336,23.566666666666666,3.0666666666666664,5.966666666666666,0.512,0.03333333333333333,0.10000000000000002,0.48900000000000005,3.033333333333333,5.833333333333333,0.5153333333333333,0.5146666666666667,2.033333333333333,2.6333333333333333,0.7479999999999999,2.2333333333333334,4.6000000000000005,6.8,1.4666666666666668,0.8666666666666667,1.2333333333333334,1.4333333333333333,2.3666666666666667,8.2,14112360.0
Henry Sims,396.0,15-16,C,24.0,BRK,44.333333333333336,20.333333333333332,19.0,2.8333333333333335,6.133333333333333,0.459,0.03333333333333333,0.09999999999999999,0.091,2.7999999999999994,6.0,0.4643333333333333,0.4603333333333333,1.7666666666666666,2.1999999999999997,0.7836666666666666,1.8333333333333333,3.266666666666667,5.066666666666666,0.9333333333333335,0.5666666666666668,0.6,1.0666666666666667,2.3000000000000003,7.366666666666667,980431.0
Ian Mahinmi,276.0,15-16,C,28.0,IND,69.66666666666667,26.0,20.200000000000003,2.2666666666666666,4.1000000000000005,0.5406666666666666,0.0,0.0,0.0,2.2666666666666666,4.066666666666667,0.5416666666666666,0.5406666666666666,1.2,2.266666666666667,0.504,1.6666666666666667,3.733333333333334,5.3999999999999995,0.7666666666666666,0.6333333333333333,0.9333333333333335,1.0666666666666667,2.866666666666667,5.7,15944154.0
Iman Shumpert,394.0,15-16,SG,24.0,CLE,63.333333333333336,29.333333333333332,25.266666666666666,2.566666666666667,6.566666666666666,0.3873333333333333,0.9666666666666668,3.0,0.3233333333333333,1.5666666666666664,3.6,0.441,0.4606666666666667,0.6999999999999998,0.9666666666666667,0.734,0.8666666666666667,3.0,3.866666666666667,1.866666666666667,1.1666666666666667,0.3,1.2333333333333334,2.4,6.833333333333333,10337079.0
Isaiah Canaan,77.0,15-16,SG,23.0,PHI,48.666666666666664,20.0,19.0,2.6333333333333333,7.133333333333333,0.36733333333333335,1.6666666666666663,4.666666666666667,0.35333333333333333,0.9666666666666667,2.466666666666667,0.39233333333333337,0.48300000000000004,1.3,1.633333333333333,0.7913333333333333,0.3333333333333333,1.4333333333333333,1.7666666666666664,1.6333333333333335,0.5666666666666665,0.16666666666666666,1.1666666666666667,1.5333333333333332,8.266666666666666,997547.0
Isaiah Thomas,421.0,15-16,PG,25.0,BOS,73.66666666666667,44.666666666666664,30.900000000000002,6.366666666666667,14.666666666666666,0.43366666666666664,1.9000000000000001,5.333333333333333,0.36033333333333334,4.466666666666667,9.366666666666665,0.47433333333333333,0.4996666666666667,5.033333333333334,5.833333333333333,0.863,0.6,2.1666666666666665,2.733333333333333,5.566666666666666,1.0999999999999999,0.10000000000000002,2.6,2.266666666666667,19.63333333333333,6261395.0
Ish Smith,401.0,15-16,PG,26.0,TOT,67.33333333333333,22.666666666666668,19.533333333333335,3.1666666666666665,7.766666666666667,0.408,0.3333333333333333,1.2,0.224,2.8000000000000003,6.566666666666666,0.4306666666666667,0.4263333333333333,0.8333333333333334,1.3,0.6176666666666666,0.4333333333333333,2.1,2.533333333333333,4.133333333333334,0.8333333333333334,0.20000000000000004,1.5333333333333332,1.1666666666666667,7.466666666666666,6000000.0
J.J. Barea,32.0,15-16,PG,30.0,DAL,76.66666666666667,9.0,19.6,3.4666666666666663,8.3,0.4176666666666667,0.9999999999999999,2.8666666666666667,0.3413333333333333,2.4666666666666663,5.433333333333333,0.4566666666666666,0.47633333333333333,1.0,1.2666666666666666,0.79,0.3,1.5999999999999999,1.8999999999999997,3.766666666666667,0.3666666666666667,0.0,1.3333333333333333,1.5,8.933333333333332,3903900.0
Jae Crowder,101.0,15-16,SF,24.0,BOS,77.66666666666667,32.666666666666664,22.600000000000005,3.1333333333333333,7.166666666666667,0.434,1.0,3.1333333333333333,0.32,2.1,4.066666666666667,0.5266666666666667,0.506,1.5333333333333332,1.9333333333333333,0.7823333333333333,0.8333333333333334,2.9333333333333336,3.733333333333333,1.2333333333333334,1.1333333333333335,0.3666666666666667,0.7333333333333334,1.9000000000000001,8.833333333333334,6796117.0
Jamal Crawford,100.0,15-16,SG,34.0,LAC,70.66666666666667,11.0,27.933333333333334,5.366666666666667,13.233333333333334,0.4053333333333333,1.8999999999999997,5.533333333333334,0.3426666666666667,3.4666666666666663,7.7,0.44933333333333336,0.47633333333333333,3.533333333333333,4.0,0.8903333333333334,0.3666666666666667,1.7,2.0,2.6666666666666665,0.8333333333333334,0.20000000000000004,1.5999999999999999,1.6333333333333335,16.2,4328000.0
Jared Dudley,122.0,15-16,PF,29.0,WAS,75.66666666666667,35.333333333333336,24.366666666666664,2.766666666666666,5.966666666666666,0.4613333333333333,1.1,2.8666666666666667,0.38833333333333336,1.6333333333333335,3.1,0.5296666666666667,0.5553333333333333,0.7000000000000001,0.9666666666666668,0.702,0.6,2.3333333333333335,2.9333333333333336,1.7666666666666668,0.8333333333333334,0.16666666666666666,0.9,1.9666666666666668,7.333333333333333,10000000.0
Jared Sullinger,415.0,15-16,PF,22.0,BOS,71.0,55.333333333333336,26.066666666666666,4.966666666666666,11.433333333333332,0.4336666666666667,0.7000000000000001,2.433333333333333,0.27799999999999997,4.3,9.0,0.4756666666666667,0.4623333333333333,1.7,2.3000000000000003,0.7206666666666667,2.733333333333333,5.3,8.0,2.0666666666666664,0.7333333333333334,0.6666666666666666,1.4000000000000001,2.8666666666666667,12.300000000000002,5628000.0
Jason Smith,403.0,15-16,C,28.0,ORL,63.0,20.0,21.366666666666664,3.5,7.633333333333333,0.4613333333333334,0.10000000000000002,0.2333333333333333,0.3035,3.466666666666667,7.400000000000001,0.466,0.467,1.1666666666666667,1.4666666666666668,0.8053333333333333,1.1666666666666667,3.0666666666666664,4.233333333333333,1.1333333333333333,0.4000000000000001,0.7666666666666666,1.0,2.6,8.299999999999999,5450000.0
