team,salary,player,position,season
Chicago Bulls,5000000.0,Richard Hamilton, SG,2012-2013
New Orleans Hornets,4899293.0,Robin Lopez, C,2012-2013
New Orleans Pelicans,4847586.0,Marcus Banks, PG,2012-2013
Minnesota Timberwolves,4837200.0,Nikola Pekovic, C,2012-2013
Philadelphia 76ers,4818000.0,Darius Songaila, PF,2012-2013
Charlotte Bobcats,4809840.0,Michael Kidd-Gilchrist, SF,2012-2013
Minnesota Timberwolves,4809840.0,Derrick Williams, PF,2012-2013
Milwaukee Bucks,4794192.0,Luc Mbah a Moute, PF,2012-2013
Cleveland Cavaliers,4792332.0,Daniel Gibson, SG,2012-2013
Indiana Pacers,4763760.0,Victor Oladipo, SG,2012-2013
Utah Jazz,4753320.0,Derrick Favors, PF,2012-2013
Toronto Raptors,4600000.0,Linas Kleiza, SF,2012-2013
New York Knicks,4590338.0,Marcus Camby, C,2012-2013
Phoenix Suns,4508504.0,Luis Scola, F,2012-2013
San Antonio Spurs,4500000.0,Boris Diaw, C,2012-2013
Detroit Pistons,4500000.0,Jonas Jerebko, PF,2012-2013
Minnesota Timberwolves,4493500.0,J.J. Barea, PG,2012-2013
Miami Heat,4340000.0,Udonis Haslem, PF,2012-2013
Washington Wizards,4319280.0,Bradley Beal, SG,2012-2013
Utah Jazz,4319280.0,Enes Kanter, C,2012-2013
Phoenix Suns,4285560.0,Wesley Johnson, SF,2012-2013
Washington Wizards,4278000.0,Otto Porter Jr., SF,2012-2013
Sacramento Kings,4250000.0,Jordan Farmar, PG,2012-2013
Phoenix Suns,4250000.0,Jared Dudley, SF,2012-2013
Memphis Grizzlies,4200000.0,Marreese Speights, F,2012-2013
Philadelphia 76ers,4106000.0,Dorell Wright, SF,2012-2013
San Antonio Spurs,4100000.0,Bruce Bowen, SF,2012-2013
Golden State Warriors,4099920.0,Charlie Bell, SG,2012-2013
Memphis Grizzlies,4080915.0,Greg Buckner, SG,2012-2013
Chicago Bulls,4059000.0,Kirk Hinrich, SG,2012-2013
New York Knicks,4054055.0,Steve Novak, SF,2012-2013
Dallas Mavericks,4020000.0,O.J. Mayo, SG,2012-2013
Portland Trail Blazers,4000000.0,JJ Hickson, C,2012-2013
Indiana Pacers,4000000.0,Ian Mahinmi, C,2012-2013
Miami Heat,4000000.0,Mario Chalmers, G,2012-2013
Minnesota Timberwolves,4000000.0,Luke Ridnour, PG,2012-2013
Boston Celtics,4000000.0,Ryan Gomes, SF,2012-2013
Golden State Warriors,3958742.0,Stephen Curry, PG,2012-2013
San Antonio Spurs,3944000.0,Tiago Splitter, C,2012-2013
Oklahoma City Thunder,3900000.0,Thabo Sefolosha, SF,2012-2013
Cleveland Cavaliers,3894240.0,Tristan Thompson, C,2012-2013
Sacramento Kings,3880800.0,DeMarcus Cousins, C,2012-2013
Charlotte Hornets,3857040.0,Cody Zeller, C,2012-2013
Miami Heat,3800000.0,Joel Anthony, PF,2012-2013
Minnesota Timberwolves,3741120.0,Ricky Rubio, PG,2012-2013
Cleveland Cavaliers,3726600.0,Dion Waiters, SG,2012-2013
San Antonio Spurs,3630000.0,Matt Bonner, C,2012-2013
Los Angeles Lakers,3563600.0,Jordan Hill, C,2012-2013
Milwaukee Bucks,3524880.0,Ekpe Udoh, C,2012-2013
Los Angeles Lakers,3500000.0,Chris Duhon, PG,2012-2013
Cleveland Cavaliers,3500000.0,Alonzo Gee, SF,2012-2013
San Antonio Spurs,3500000.0,Danny Green, SG,2012-2013
Charlotte Bobcats,3500000.0,Matt Carroll, SG,2012-2013
Atlanta Hawks,3500000.0,Johan Petro, C,2012-2013
New York Knicks,3480453.0,Raymond Felton, PG,2012-2013
Utah Jazz,3480000.0,Raja Bell, SG,2012-2013
Toronto Raptors,3374640.0,Jonas Valanciunas, C,2012-2013
Sacramento Kings,3374640.0,Thomas Robinson, F,2012-2013
Toronto Raptors,3344250.0,DeMar DeRozan, SG,2012-2013
Washington Wizards,3340920.0,Jan Vesely, PF,2012-2013
Memphis Grizzlies,3300000.0,Tony Allen, SG,2012-2013
Miami Heat,3270000.0,Shane Battier, SF,2012-2013
LA Clippers,3250000.0,Matt Barnes, SF,2012-2013
Detroit Pistons,3250000.0,Will Bynum, PG,2012-2013
Denver Nuggets,3243000.0,Corey Brewer, F,2012-2013
Miami Heat,3229050.0,Ray Allen, SG,2012-2013
Detroit Pistons,3217680.0,Greg Monroe, C,2012-2013
Milwaukee Bucks,3183000.0,Mike Dunleavy, SG,2012-2013
Milwaukee Bucks,3179493.0,Brandon Jennings, G,2012-2013
Denver Nuggets,3140429.0,Timofey Mozgov, C,2012-2013
Minnesota Timberwolves,3135000.0,Shawne Williams, SF,2012-2013
Brooklyn Nets,3090000.0,Mirza Teletovic, PF,2012-2013
New York Knicks,3090000.0,Jason Kidd, PG,2012-2013
Dallas Mavericks,3090000.0,Vince Carter, SF,2012-2013
Portland Trail Blazers,3065040.0,Damian Lillard, PG,2012-2013
Indiana Pacers,3055259.0,Tyler Hansbrough, PF,2012-2013
Charlotte Bobcats,3049920.0,Bismack Biyombo, C,2012-2013
Portland Trail Blazers,3013512.0,Joel Freeland, C,2012-2013
Memphis Grizzlies,3006217.0,Darrell Arthur, F,2012-2013
Philadelphia 76ers,3000000.0,Lavoy Allen, F,2012-2013
Houston Rockets,3000000.0,Carlos Delfino, SG,2012-2013
Denver Nuggets,3000000.0,Kosta Koufos, C,2012-2013
Indiana Pacers,3000000.0,Jeff Foster, PF,2012-2013
Memphis Grizzlies,2958077.0,Austin Daye, SF,2012-2013
New Orleans Hornets,2947800.0,Al-Farouq Aminu, PF,2012-2013
Minnesota Timberwolves,2934610.0,Alexey Shved, PG,2012-2013
Dallas Mavericks,2900000.0,Dahntay Jones, SG,2012-2013
Toronto Raptors,2858057.0,Julian Wright, SF,2012-2013
Minnesota Timberwolves,2840000.0,Mark Madsen, PF,2012-2013
Philadelphia 76ers,2819044.0,Kwame Brown, C,2012-2013
Sacramento Kings,2812006.0,James Johnson, PF,2012-2013
New York Knicks,2806452.0,JR Smith, SG,2012-2013
Golden State Warriors,2798040.0,Harrison Barnes, SF,2012-2013
Washington Wizards,2761114.0,Kevin Seraphin, C,2012-2013
Charlotte Hornets,2750000.0,Eduardo Najera, PF,2012-2013
Utah Jazz,2709720.0,Gordon Hayward, SF,2012-2013
Fenerbahce Ulker Fenerbahce Ulker,2685185.0,David Andersen, C,2012-2013
Detroit Pistons,2678640.0,Brandon Knight, PG,2012-2013
Philadelphia 76ers,2674852.0,Jrue Holiday, PG,2012-2013
Charlotte Bobcats,2652000.0,Josh McRoberts, PF,2012-2013
New York Knicks,2627400.0,Quentin Richardson, SF,2012-2013
LA Clippers,2626473.0,Eric Bledsoe, PG,2012-2013
Oklahoma City Thunder,2585668.0,Nick Collison, F,2012-2013
Minnesota Timberwolves,2575000.0,Greg Stiemsma, C,2012-2013
Toronto Raptors,2575000.0,Aaron Gray, C,2012-2013
Indiana Pacers,2574120.0,Paul George, SF,2012-2013
Charlotte Bobcats,2568360.0,Kemba Walker, PG,2012-2013
Toronto Raptors,2563320.0,Terrence Ross, SG,2012-2013
Denver Nuggets,2544529.0,Ty Lawson, G,2012-2013
New Orleans Hornets,2500000.0,Jason Smith, PF,2012-2013
Utah Jazz,2500000.0,Randy Foye, SG,2012-2013
Sacramento Kings,2445480.0,Cole Aldrich, C,2012-2013
Atlanta Hawks,2433077.0,Jeff Teague, PG,2012-2013
Sacramento Kings,2400000.0,Aaron Brooks, G,2012-2013
LA Clippers,2400000.0,Ricky Davis, SG,2012-2013
Detroit Pistons,2356320.0,Andre Drummond, C,2012-2013
Washington Wizards,2350820.0,Trevor Booker, F,2012-2013
Sacramento Kings,2339040.0,Jimmer Fredette, G,2012-2013
New Orleans Hornets,2323200.0,Xavier Henry, SG,2012-2013
Utah Jazz,2300000.0,Earl Watson, PG,2012-2013
Cleveland Cavaliers,2277306.0,Omri Casspi, SF,2012-2013
Cleveland Cavaliers,2250000.0,Anthony Parker, SG,2012-2013
Detroit Pistons,2246400.0,Ben Wallace, PF,2012-2013
Atlanta Hawks,2240450.0,DeShawn Stevenson, SG,2012-2013
New Orleans Hornets,2238360.0,Austin Rivers, PG,2012-2013
Dallas Mavericks,2227333.0,Rodrigue Beaubois, PG,2012-2013
Cleveland Cavaliers,2225000.0,CJ Miles, SF,2012-2013
Golden State Warriors,2222160.0,Klay Thompson, SG,2012-2013
Memphis Grizzlies,2207040.0,Ed Davis, PF,2012-2013
Madrid Real Madrid,2180443.0,Rudy Fernandez, SG,2012-2013
Portland Trail Blazers,2126520.0,Meyers Leonard, PF,2012-2013
Oklahoma City Thunder,2111160.0,Jeremy Lamb, SG,2012-2013
Utah Jazz,2111160.0,Alec Burks, SG,2012-2013
Dallas Mavericks,2100500.0,Elton Brand, PF,2012-2013
Sacramento Kings,2096760.0,Patrick Patterson, PF,2012-2013
Phoenix Suns,2091840.0,Markieff Morris, PF,2012-2013
Minnesota Timberwolves,2090000.0,Dante Cunningham, SF,2012-2013
Memphis Grizzlies,2083042.0,Wayne Ellington, SG,2012-2013
Sacramento Kings,2067880.0,Toney Douglas, PG,2012-2013
Orlando Magic,2062800.0,Anthony Johnson, PG,2012-2013
Houston Rockets,2062800.0,Brent Barry, SG,2012-2013
Charlotte Bobcats,2050000.0,Brendan Haywood, C,2012-2013
Oklahoma City Thunder,2016000.0,Eric Maynor, PG,2012-2013
Phoenix Suns,2005560.0,Kendall Marshall, PG,2012-2013
Milwaukee Bucks,1991760.0,Larry Sanders, PF,2012-2013
Toronto Raptors,1990000.0,Rasho Nesterovic, C,2012-2013
Phoenix Suns,1987320.0,Marcus Morris, PF,2012-2013
LA Clippers,1975000.0,Grant Hill, SF,2012-2013
Chicago Bulls,1957000.0,Marco Belinelli, G,2012-2013
Dallas Mavericks,1900000.0,Darren Collison, PG,2012-2013
Portland Trail Blazers,1892280.0,Luke Babbitt, F,2012-2013
Milwaukee Bucks,1823280.0,John Henson, F,2012-2013
Houston Rockets,1823280.0,Dikembe Mutombo, C,2012-2013
San Antonio Spurs,1809840.0,Kawhi Leonard, SF,2012-2013
Orlando Magic,1809840.0,Maurice Harkless, SF,2012-2013
Utah Jazz,1794872.0,Jeremy Evans, F,2012-2013
Orlando Magic,1793520.0,Nikola Vucevic, C,2012-2013
Memphis Grizzlies,1679914.0,Donte Greene, SF,2012-2013
Miami Heat,1679408.0,Chris Andersen, PF,2012-2013
Dallas Mavericks,1675000.0,Renaldo Balkman, SF,2012-2013
Denver Nuggets,1674641.0,Anthony Randolph, SF,2012-2013
Houston Rockets,1645440.0,Royce White, PF,2012-2013
New York Knicks,1633440.0,Iman Shumpert, SG,2012-2013
Boston Celtics,1630800.0,Avery Bradley, SG,2012-2013
Brooklyn Nets,1622617.0,Reggie Evans, C,2012-2013
Washington Wizards,1618680.0,Chris Singleton, SF,2012-2013
Toronto Raptors,1567500.0,Sebastian Telfair, PG,2012-2013
Cleveland Cavaliers,1563120.0,Tyler Zeller, C,2012-2013
Los Angeles Lakers,1550000.0,Jodie Meeks, SG,2012-2013
Orlando Magic,1545840.0,Tobias Harris, SF,2012-2013
