Player,Rk,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2019-20
Jeff Green,189.0,19-20,PF-C,31.0,TOT,70.4,22.6,24.2,3.78,8.48,0.4476,1.0,3.1399999999999997,0.3176,2.7800000000000002,5.359999999999999,0.5311999999999999,0.5078000000000001,2.1399999999999997,2.56,0.8331999999999999,0.7,2.7399999999999998,3.46,1.4,0.5599999999999999,0.4,1.1,1.9,10.680000000000001,2564753
Jeff Teague,464.0,19-20,PG,29.0,TOT,66.4,57.6,29.76,4.66,10.620000000000001,0.4372,1.04,2.88,0.3652,3.62,7.76,0.46319999999999995,0.4862,3.28,3.8600000000000003,0.8452,0.4,2.5,2.9200000000000004,6.82,1.12,0.33999999999999997,2.44,2.08,13.64,19000000
Jerami Grant,182.0,19-20,PF,23.0,DEN,77.8,31.6,25.1,3.5199999999999996,7.340000000000001,0.47840000000000005,0.8399999999999999,2.4,0.3366,2.6799999999999997,4.9799999999999995,0.5392,0.5338,2.0,2.9200000000000004,0.6809999999999999,0.9800000000000001,3.02,3.9799999999999995,1.06,0.6,1.14,0.8800000000000001,2.3,9.84,9346153
Jeremy Lamb,284.0,19-20,SG,25.0,IND,66.6,24.0,23.639999999999997,4.42,9.760000000000002,0.4518,1.08,3.1800000000000006,0.3286,3.34,6.6,0.511,0.5052,1.98,2.34,0.833,0.6199999999999999,3.78,4.4,1.8,0.82,0.44000000000000006,0.9400000000000001,1.8,11.84,10500000
Jerian Grant,183.0,19-20,PG,25.0,WAS,55.8,12.2,16.939999999999998,2.0,4.9799999999999995,0.4046,0.58,1.8,0.3052,1.44,3.16,0.45779999999999993,0.46420000000000006,1.0799999999999998,1.4400000000000002,0.7558,0.32,1.4,1.72,2.5799999999999996,0.64,0.12,0.8800000000000001,1.54,5.720000000000001,196288
Jimmy Butler,82.0,19-20,SF,28.0,MIA,65.0,64.8,35.60000000000001,6.840000000000001,14.9,0.45999999999999996,0.9800000000000001,2.98,0.324,5.88,11.94,0.4928,0.49239999999999995,6.4399999999999995,7.58,0.8480000000000001,1.58,4.18,5.76,5.04,1.8399999999999999,0.52,1.92,1.5599999999999998,21.119999999999997,32742000
Joakim Noah,368.0,19-20,C,32.0,LAC,25.8,9.8,15.24,1.6200000000000003,3.4200000000000004,0.47780000000000006,0.0,0.0,0.0,1.6200000000000003,3.4,0.4796,0.47780000000000006,0.9799999999999999,1.6199999999999999,0.5782,1.9600000000000002,3.72,5.700000000000001,2.02,0.45999999999999996,0.6,1.22,2.06,4.18,6431666
Joe Harris,203.0,19-20,SF,26.0,BRK,56.0,34.0,22.24,3.5,7.4,0.4304,1.72,4.14,0.39039999999999997,1.7600000000000002,3.2800000000000002,0.53975,0.5496000000000001,0.82,1.06,0.77175,0.5199999999999999,2.46,2.96,1.5,0.42000000000000004,0.18,1.12,1.8399999999999999,9.56,7670000
Joe Ingles,239.0,19-20,SF,30.0,UTA,79.8,47.2,26.340000000000003,3.18,7.08,0.4476,1.86,4.5,0.4114,1.34,2.5799999999999996,0.5152,0.58,0.7400000000000001,0.96,0.7492,0.32,3.1,3.44,3.9199999999999995,1.02,0.14,1.6800000000000002,1.94,8.940000000000001,11954546
John Henson,211.0,19-20,PF,27.0,TOT,49.0,23.4,18.099999999999998,2.8,5.220000000000001,0.534,0.2,0.64,0.144,2.6000000000000005,4.58,0.5720000000000001,0.5552,0.9400000000000001,1.58,0.5904,1.48,3.5,5.0,1.1600000000000001,0.5,1.3,0.9800000000000001,2.1399999999999997,6.74,9732396
Jonas Valančiūnas,484.0,19-20,C,25.0,MEM,67.2,62.6,24.58,5.4799999999999995,9.639999999999999,0.5668,0.24000000000000005,0.6599999999999999,0.38725,5.260000000000001,9.0,0.5824,0.5781999999999999,2.44,3.1399999999999997,0.7826000000000001,2.6999999999999997,6.720000000000001,9.42,1.1600000000000001,0.42000000000000004,1.04,1.5599999999999998,2.68,13.6,16000000
