team,salary,player,position,season
Los Angeles Lakers,3251000.0,Carlos Boozer, PF,2014-2015
LA Clippers,3250000.0,Carlos Delfino, SG,2014-2015
Charlotte Hornets,3250000.0,Gary Neal, PG,2014-2015
Oklahoma City Thunder,3200000.0,Anthony Morrow, SG,2014-2015
Portland Trail Blazers,3150000.0,Dorell Wright, SF,2014-2015
Memphis Grizzlies,3146068.0,Quincy Pondexter, SF,2014-2015
Indiana Pacers,3135000.0,Chris Copeland, SF,2014-2015
Golden State Warriors,3075880.0,Klay Thompson, SG,2014-2015
Golden State Warriors,3049920.0,Harrison Barnes, SF,2014-2015
Utah Jazz,3034356.0,Alec Burks, SG,2014-2015
Sacramento Kings,3026280.0,Ben McLemore, SG,2014-2015
Portland Trail Blazers,3013512.0,Joel Freeland, C,2014-2015
Milwaukee Bucks,3000000.0,Jerryd Bayless, PG,2014-2015
Memphis Grizzlies,3000000.0,Kosta Koufos, C,2014-2015
Phoenix Suns,3000000.0,Anthony Tolliver, PF,2014-2015
Los Angeles Lakers,2997360.0,Julius Randle, PF,2014-2015
Phoenix Suns,2989239.0,Markieff Morris, PF,2014-2015
Philadelphia 76ers,2963232.0,Furkan Aldemir, PF,2014-2015
Phoenix Suns,2943221.0,Marcus Morris, PF,2014-2015
Washington Wizards,2915908.0,Will Bynum, PG,2014-2015
San Antonio Spurs,2894059.0,Kawhi Leonard, SF,2014-2015
San Antonio Spurs,2873750.0,Marco Belinelli, G,2014-2015
Toronto Raptors,2793960.0,Terrence Ross, SG,2014-2015
Detroit Pistons,2772480.0,Kentavious Caldwell-Pope, SG,2014-2015
Orlando Magic,2751260.0,Nikola Vucevic, C,2014-2015
Orlando Magic,2750000.0,Luke Ridnour, PG,2014-2015
Sacramento Kings,2745840.0,Nik Stauskas, SG,2014-2015
Charlotte Hornets,2732000.0,Brian Roberts, PG,2014-2015
Miami Heat,2732000.0,Udonis Haslem, PF,2014-2015
Denver Nuggets,2732000.0,Jameer Nelson, G,2014-2015
Chicago Bulls,2732000.0,Kirk Hinrich, SG,2014-2015
New York Knicks,2616975.0,Iman Shumpert, SG,2014-2015
Detroit Pistons,2568360.0,Andre Drummond, C,2014-2015
Utah Jazz,2548560.0,Trey Burke, PG,2014-2015
Charlotte Hornets,2524200.0,Noah Vonleh, PF,2014-2015
Toronto Raptors,2500000.0,James Johnson, PF,2014-2015
Atlanta Hawks,2442455.0,DeMarre Carroll, SF,2014-2015
LA Clippers,2439840.0,Austin Rivers, PG,2014-2015
Atlanta Hawks,2433333.0,Shelvin Mack, PG,2014-2015
Portland Trail Blazers,2421000.0,CJ McCollum, SG,2014-2015
Orlando Magic,2397840.0,Elfrid Payton, PG,2014-2015
Orlando Magic,2380594.0,Tobias Harris, SF,2014-2015
Portland Trail Blazers,2317920.0,Meyers Leonard, PF,2014-2015
Philadelphia 76ers,2300040.0,Michael Carter-Williams, PG,2014-2015
Chicago Bulls,2277960.0,Doug McDermott, SF,2014-2015
Denver Nuggets,2249768.0,Kenneth Faried, PF,2014-2015
