team,salary,player,position,season
Golden State Warriors,3500000.0,Marreese Speights, F,2013-2014
Phoenix Suns,3500000.0,Gerald Green, SG,2013-2014
Phoenix Suns,3492720.0,Alex Len, C,2013-2014
Utah Jazz,3452183.0,Gordon Hayward, SF,2013-2014
Washington Wizards,3340920.0,Jan Vesely, PF,2013-2014
Indiana Pacers,3282003.0,Paul George, SF,2013-2014
Miami Heat,3270000.0,Shane Battier, SF,2013-2014
LA Clippers,3250000.0,Matt Barnes, SF,2013-2014
LA Clippers,3250000.0,Carlos Delfino, SG,2013-2014
Charlotte Bobcats,3250000.0,Gary Neal, PG,2013-2014
Denver Nuggets,3231683.0,Darrell Arthur, F,2013-2014
Brooklyn Nets,3229050.0,Mirza Teletovic, PF,2013-2014
Miami Heat,3229050.0,Ray Allen, SG,2013-2014
Portland Trail Blazers,3202920.0,Damian Lillard, PG,2013-2014
Brooklyn Nets,3183000.0,Andrei Kirilenko, SF,2013-2014
Toronto Raptors,3183000.0,Tyler Hansbrough, PF,2013-2014
Chicago Bulls,3183000.0,Mike Dunleavy, SG,2013-2014
Dallas Mavericks,3180000.0,Vince Carter, SF,2013-2014
Oklahoma City Thunder,3172320.0,Nerlens Noel, PF,2013-2014
Memphis Grizzlies,3153860.0,Ed Davis, PF,2013-2014
Minnesota Timberwolves,3150000.0,Alexey Shved, PG,2013-2014
Memphis Grizzlies,3135000.0,Jerryd Bayless, PG,2013-2014
Toronto Raptors,3105302.0,Patrick Patterson, PF,2013-2014
Philadelphia 76ers,3060000.0,Lavoy Allen, F,2013-2014
Milwaukee Bucks,3053368.0,Larry Sanders, PF,2013-2014
Charlotte Bobcats,3049920.0,Bismack Biyombo, C,2013-2014
Sacramento Kings,3000000.0,Travis Outlaw, SF,2013-2014
Memphis Grizzlies,3000000.0,Kosta Koufos, C,2013-2014
Indiana Pacers,3000000.0,Chris Copeland, SF,2013-2014
Golden State Warriors,2923920.0,Harrison Barnes, SF,2013-2014
Portland Trail Blazers,2897976.0,Joel Freeland, C,2013-2014
Sacramento Kings,2895960.0,Ben McLemore, SG,2013-2014
Milwaukee Bucks,2793960.0,Brandon Knight, PG,2013-2014
Detroit Pistons,2790343.0,Will Bynum, PG,2013-2014
Washington Wizards,2761114.0,Kevin Seraphin, C,2013-2014
San Antonio Spurs,2750000.0,Marco Belinelli, G,2013-2014
Toronto Raptors,2690875.0,Aaron Gray, C,2013-2014
Toronto Raptors,2678640.0,Terrence Ross, SG,2013-2014
Detroit Pistons,2653080.0,Kentavious Caldwell-Pope, SG,2013-2014
Dallas Mavericks,2652000.0,Wayne Ellington, SG,2013-2014
Portland Trail Blazers,2652000.0,Mo Williams, PG,2013-2014
Phoenix Suns,2626474.0,Eric Bledsoe, PG,2013-2014
Oklahoma City Thunder,2585668.0,Nick Collison, F,2013-2014
Charlotte Bobcats,2568360.0,Kemba Walker, PG,2013-2014
Atlanta Hawks,2557545.0,DeMarre Carroll, SF,2013-2014
Boston Celtics,2511432.0,Avery Bradley, SG,2013-2014
New Orleans Pelicans,2500000.0,Jason Smith, PF,2013-2014
Detroit Pistons,2500000.0,Chauncey Billups, PG,2013-2014
Detroit Pistons,2465400.0,Andre Drummond, C,2013-2014
Utah Jazz,2438760.0,Trey Burke, PG,2013-2014
Washington Wizards,2350820.0,Trevor Booker, F,2013-2014
New Orleans Pelicans,2339040.0,Austin Rivers, PG,2013-2014
Golden State Warriors,2317920.0,Klay Thompson, SG,2013-2014
Portland Trail Blazers,2316720.0,CJ McCollum, SG,2013-2014
Memphis Grizzlies,2225479.0,Quincy Pondexter, SF,2013-2014
Cleveland Cavaliers,2225000.0,CJ Miles, SF,2013-2014
Portland Trail Blazers,2222160.0,Meyers Leonard, PF,2013-2014
Utah Jazz,2202000.0,Alec Burks, SG,2013-2014
Philadelphia 76ers,2200920.0,Michael Carter-Williams, PG,2013-2014
Minnesota Timberwolves,2180000.0,Dante Cunningham, SF,2013-2014
Golden State Warriors,2162419.0,Jordan Crawford, G,2013-2014
Toronto Raptors,2150188.0,Greivis Vasquez, PG,2013-2014
Oklahoma City Thunder,2111160.0,Jeremy Lamb, SG,2013-2014
Phoenix Suns,2091840.0,Markieff Morris, PF,2013-2014
Oklahoma City Thunder,2090880.0,Steven Adams, C,2013-2014
Portland Trail Blazers,2050000.0,Brendan Haywood, C,2013-2014
