team,salary,player,position,season
Philadelphia 76ers,4818000.0,Darius Songaila, PF,2010-2011
Minnesota Timberwolves,4800000.0,Martell Webster, SF,2010-2011
Memphis Grizzlies,4793280.0,Hasheem Thabeet, C,2010-2011
Chicago Bulls,4790000.0,Ronnie Brewer, SF,2010-2011
Philadelphia 76ers,4602720.0,Evan Turner, SG,2010-2011
Toronto Raptors,4600000.0,Jarrett Jack, G,2010-2011
Denver Nuggets,4533300.0,Chris Andersen, PF,2010-2011
Memphis Grizzlies,4456200.0,O.J. Mayo, SG,2010-2011
Oklahoma City Thunder,4455988.0,Jeff Green, SF,2010-2011
Golden State Warriors,4447792.0,Charlie Bell, SG,2010-2011
Houston Rockets,4400000.0,Brad Miller, C,2010-2011
Minnesota Timberwolves,4325000.0,Darko Milicic, C,2010-2011
Oklahoma City Thunder,4304520.0,James Harden, PG,2010-2011
Charlotte Bobcats,4300000.0,Matt Carroll, SG,2010-2011
Minnesota Timberwolves,4275000.0,Nikola Pekovic, C,2010-2011
Atlanta Hawks,4251250.0,Zaza Pachulia, C,2010-2011
Phoenix Suns,4250000.0,Hakim Warrick, PF,2010-2011
LA Clippers,4250000.0,Randy Foye, SG,2010-2011
Oklahoma City Thunder,4200000.0,Nate Robinson, PG,2010-2011
Dallas Mavericks,4151786.0,DeShawn Stevenson, SG,2010-2011
Utah Jazz,4133280.0,Derrick Favors, PF,2010-2011
San Antonio Spurs,4100000.0,Bruce Bowen, SF,2010-2011
Memphis Grizzlies,4080915.0,Greg Buckner, SG,2010-2011
Washington Wizards,4050499.0,Yi Jianlian, SF,2010-2011
Oklahoma City Thunder,4017720.0,Russell Westbrook, PG,2010-2011
Cleveland Cavaliers,4015334.0,Daniel Gibson, SG,2010-2011
New York Knicks,4000000.0,Ronny Turiaf, C,2010-2011
Minnesota Timberwolves,4000000.0,Luke Ridnour, PG,2010-2011
LA Clippers,4000000.0,Ryan Gomes, SF,2010-2011
New Orleans Hornets,3976000.0,Willie Green, SG,2010-2011
Cleveland Cavaliers,3964320.0,Ramon Sessions, G,2010-2011
Sacramento Kings,3880920.0,Tyreke Evans, SG,2010-2011
Minnesota Timberwolves,3875000.0,Corey Brewer, F,2010-2011
New Jersey Nets,3750000.0,Jordan Farmar, PG,2010-2011
Minnesota Timberwolves,3726600.0,Wesley Johnson, SF,2010-2011
Utah Jazz,3700000.0,CJ Miles, SF,2010-2011
Los Angeles Lakers,3700000.0,Derek Fisher, PG,2010-2011
Minnesota Timberwolves,3638280.0,Kevin Love, PF,2010-2011
Chicago Bulls,3600000.0,C.J. Watson, PG,2010-2011
Memphis Grizzlies,3573333.0,Marc Gasol, C,2010-2011
New York Knicks,3567096.0,Timofey Mozgov, C,2010-2011
Golden State Warriors,3540000.0,Dorell Wright, SF,2010-2011
Orlando Magic,3500000.0,Chris Duhon, PG,2010-2011
Miami Heat,3500000.0,Udonis Haslem, PF,2010-2011
