Rk,Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
288,Corey Maggette,11-12,SF,32,CHA,32,28,27.5,4.3,11.7,0.373,0.8,2.1,0.364,3.6,9.6,0.375,0.405,5.6,6.5,0.856,0.7,3.3,3.9,1.2,0.7,0.0,1.8,2.6,15.0
289,Jamaal Magloire,11-12,C,33,TOR,34,1,11.0,0.5,1.3,0.37799999999999995,0.0,0.0,,0.5,1.3,0.37799999999999995,0.37799999999999995,0.2,0.8,0.259,0.7,2.6,3.3,0.2,0.1,0.3,0.6,1.9,1.2
290,Ian Mahinmi,11-12,C,25,DAL,61,12,18.7,2.1,3.9,0.546,0.0,0.0,0.0,2.1,3.9,0.5489999999999999,0.546,1.5,2.4,0.639,1.8,3.0,4.7,0.2,0.6,0.5,0.8,2.9,5.8
291,Shawn Marion,11-12,SF,33,DAL,63,63,30.5,4.6,10.3,0.446,0.3,1.1,0.294,4.3,9.2,0.46399999999999997,0.461,1.2,1.5,0.7959999999999999,2.3,5.1,7.4,2.1,1.1,0.6,1.6,1.4,10.6
292,Cartier Martin,11-12,SF,27,WAS,17,2,23.0,3.5,7.9,0.44,1.7,4.4,0.387,1.8,3.5,0.508,0.5489999999999999,0.6,1.1,0.579,0.7,2.7,3.4,0.6,0.6,0.1,0.8,2.1,9.3
293,Kenyon Martin,11-12,PF,34,LAC,42,0,22.4,2.3,5.2,0.441,0.1,0.3,0.231,2.2,4.9,0.45399999999999996,0.44799999999999995,0.5,1.3,0.37,1.2,3.1,4.3,0.4,1.0,1.0,0.8,2.5,5.2
294,Kevin Martin,11-12,SG,28,HOU,40,40,31.6,5.6,13.4,0.413,2.0,5.6,0.34700000000000003,3.6,7.8,0.462,0.486,4.0,4.5,0.894,0.3,2.3,2.7,2.8,0.7,0.1,1.8,1.8,17.1
295,Roger Mason,11-12,SG,31,WAS,52,0,13.4,2.0,5.0,0.39899999999999997,1.1,3.0,0.38299999999999995,0.8,2.0,0.423,0.514,0.4,0.5,0.778,0.1,1.2,1.3,0.9,0.3,0.1,0.6,0.6,5.5
296,Wesley Matthews,11-12,SG,25,POR,66,53,33.8,4.8,11.6,0.41200000000000003,2.0,5.1,0.38299999999999995,2.8,6.5,0.434,0.496,2.2,2.6,0.86,0.8,2.5,3.4,1.7,1.5,0.2,1.1,2.2,13.7
297,Jason Maxiell,11-12,PF,28,DET,65,42,22.6,2.8,5.9,0.478,0.0,0.0,0.0,2.8,5.9,0.48,0.478,0.9,1.6,0.547,1.9,3.2,5.1,0.6,0.5,0.8,1.1,2.3,6.5
