team,salary,player,position,season
Golden State Warriors,543471.0,Scott Wood, SG,2017-2018
Golden State Warriors,543471.0,Cameron Jones, SG,2017-2018
Toronto Raptors,543471.0,Brady Heslip, SG,2017-2018
Toronto Raptors,543471.0,Yanick Moreira, C,2017-2018
Charlotte Hornets,543471.0,Andrew Andrews, G,2017-2018
Charlotte Hornets,543471.0,Rasheed Sulaimon, G,2017-2018
Phoenix Suns,543471.0,Gracin Bakumanya, C,2017-2018
Utah Jazz,543471.0,Isaiah Cousins, G,2017-2018
New York Knicks,543471.0,J.P. Tokoto, SG,2017-2018
Detroit Pistons,543471.0,Nikola Jovanovic, PF,2017-2018
Detroit Pistons,543471.0,Trey Freeman, PG,2017-2018
Boston Celtics,543471.0,Jonathan Holmes, PF,2017-2018
Memphis Grizzlies,490461.0,Brandan Wright, F,2017-2018
Utah Jazz,473835.0,Joe Johnson, G,2017-2018
Memphis Grizzlies,379159.0,Toney Douglas, PG,2017-2018
LA Clippers,375000.0,C.J. Williams, SG,2017-2018
Minnesota Timberwolves,290951.0,Derrick Rose, PG,2017-2018
Atlanta Hawks,246956.0,Lamar Patterson, SG,2017-2018
Portland Trail Blazers,229892.0,Wade Baldwin IV, PG,2017-2018
Cleveland Cavaliers,207722.0,Larry Sanders, PF,2017-2018
Sacramento Kings,185397.0,Georgios Papagiannis, C,2017-2018
Phoenix Suns,175000.0,Shaquille Harrison, PG,2017-2018
Los Angeles Lakers,148318.0,Travis Wear, F,2017-2018
Charlotte Hornets,121112.0,Ray McCallum, PG,2017-2018
Dallas Mavericks,115344.0,Manny Harris, PG,2017-2018
Houston Rockets,96406.0,Tim Quarterman, G,2017-2018
Dallas Mavericks,91442.0,Aaron Harrison, G,2017-2018
Memphis Grizzlies,74186.0,Marquis Teague, G,2017-2018
Charlotte Hornets,67135.0,Mike Tobey, C,2017-2018
Memphis Grizzlies,60283.0,MarShon Brooks, SG,2017-2018
New Orleans Pelicans,58190.0,Jordan Crawford, G,2017-2018
Philadelphia 76ers,57672.0,Justin Harper, PF,2017-2018
Denver Nuggets,57672.0,Alonzo Gee, SF,2017-2018
Toronto Raptors,55296.0,Nigel Hayes, F,2017-2018
Utah Jazz,44495.0,David Stockton, G,2017-2018
Boston Celtics,44495.0,Jonathan Gibson, G,2017-2018
Dallas Mavericks,31969.0,Pierre Jackson, PG,2017-2018
Los Angeles Lakers,13824.0,Andre Ingram, G,2017-2018
Orlando Magic,4608.0,Amile Jefferson, PF,2017-2018
Houston Rockets,4608.0,Aaron Jackson, F,2017-2018
