team,salary,player,position,season
Oklahoma City Thunder,19508958.0,Paul George, SF,2017-2018
Minnesota Timberwolves,19301070.0,Jimmy Butler, SG,2017-2018
Toronto Raptors,31200000.0,Kyle Lowry, PG,2017-2018
Miami Heat,19245370.0,Tyler Johnson, SG,2017-2018
Boston Celtics,29727900.0,Gordon Hayward, SF,2017-2018
Memphis Grizzlies,28530608.0,Mike Conley, PG,2017-2018
Oklahoma City Thunder,28530608.0,Russell Westbrook, PG,2017-2018
Houston Rockets,28299399.0,James Harden, PG,2017-2018
Toronto Raptors,27739975.0,DeMar DeRozan, SG,2017-2018
Washington Wizards,19169800.0,John Wall, PG,2017-2018
Minnesota Timberwolves,19000000.0,Jeff Teague, PG,2017-2018
Sacramento Kings,19000000.0,George Hill, PG,2017-2018
San Antonio Spurs,18868626.0,Kawhi Leonard, SF,2017-2018
Boston Celtics,18868626.0,Kyrie Irving, PG,2017-2018
New York Knicks,18622514.0,Enes Kanter, C,2017-2018
New York Knicks,18530000.0,Joakim Noah, C,2017-2018
Brooklyn Nets,18500000.0,Allen Crabbe, SG,2017-2018
Miami Heat,18109175.0,Goran Dragic, PG,2017-2018
Atlanta Hawks,18089887.0,Kent Bazemore, SG,2017-2018
New Orleans Pelicans,18063850.0,DeMarcus Cousins, C,2017-2018
Dallas Mavericks,17884176.0,Wesley Matthews, SG,2017-2018
Golden State Warriors,17826150.0,Klay Thompson, SG,2017-2018
Los Angeles Lakers,17745894.0,Kentavious Caldwell-Pope, SG,2017-2018
Golden State Warriors,17469565.0,Draymond Green, PF,2017-2018
Cleveland Cavaliers,17469565.0,Tristan Thompson, C,2017-2018
New York Knicks,17325000.0,Tim Hardaway Jr., G,2017-2018
Los Angeles Lakers,17190000.0,Luol Deng, SF,2017-2018
Portland Trail Blazers,17131148.0,Evan Turner, SG,2017-2018
Detroit Pistons,17043478.0,Reggie Jackson, PG,2017-2018
Orlando Magic,17000000.0,Bismack Biyombo, C,2017-2018
Orlando Magic,17000000.0,Evan Fournier, SG,2017-2018
Toronto Raptors,16539326.0,Jonas Valanciunas, C,2017-2018
San Antonio Spurs,16000000.0,Pau Gasol, C,2017-2018
LA Clippers,16000000.0,Tobias Harris, SF,2017-2018
Washington Wizards,15944154.0,Ian Mahinmi, C,2017-2018
Atlanta Hawks,15500000.0,Dennis Schroder, PG,2017-2018
San Antonio Spurs,15453126.0,Tony Parker, PG,2017-2018
Brooklyn Nets,15400000.0,DeMarre Carroll, SF,2017-2018
Phoenix Suns,15000000.0,Eric Bledsoe, PG,2017-2018
Golden State Warriors,14814815.0,Andre Iguodala, SG,2017-2018
Cleveland Cavaliers,14720000.0,JR Smith, SG,2017-2018
Miami Heat,14651700.0,James Johnson, PF,2017-2018
Chicago Bulls,14357750.0,Robin Lopez, C,2017-2018
Utah Jazz,14275000.0,Ricky Rubio, PG,2017-2018
Utah Jazz,14136364.0,Joe Ingles, SF,2017-2018
Minnesota Timberwolves,14112360.0,Gorgui Dieng, C,2017-2018
