Rk,Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
332,Paul Pierce,10-11,SF,33,BOS,80,80,34.7,6.3,12.8,0.49700000000000005,1.4,3.7,0.374,5.0,9.1,0.547,0.551,4.8,5.6,0.86,0.4,5.0,5.4,3.3,1.0,0.6,2.1,2.9,18.9
333,Mickaël Piétrus,10-11,SG-SF,28,TOT,57,4,19.4,2.5,6.4,0.392,1.5,4.1,0.36,1.0,2.3,0.45,0.508,0.7,1.0,0.684,0.3,1.9,2.2,0.6,0.5,0.4,0.7,1.8,7.2
333,Mickaël Piétrus,10-11,SF,28,ORL,19,0,22.0,2.4,6.1,0.391,1.8,4.6,0.391,0.6,1.5,0.39299999999999996,0.539,0.2,0.3,0.5,0.3,2.3,2.6,0.5,0.5,0.2,0.7,1.8,6.7
333,Mickaël Piétrus,10-11,SG,28,PHO,38,4,18.1,2.6,6.6,0.392,1.3,3.9,0.342,1.2,2.7,0.465,0.494,0.9,1.3,0.706,0.2,1.8,2.0,0.6,0.5,0.5,0.7,1.7,7.4
334,Dexter Pittman,10-11,C,22,MIA,2,0,5.5,0.5,1.5,0.33299999999999996,0.0,0.0,,0.5,1.5,0.33299999999999996,0.33299999999999996,0.0,0.0,,0.5,1.0,1.5,0.0,0.0,0.0,1.0,1.0,1.0
335,Quincy Pondexter,10-11,SF,22,NOH,66,6,11.1,1.1,2.7,0.406,0.3,0.8,0.36,0.8,2.0,0.423,0.456,0.4,0.5,0.706,0.3,1.0,1.3,0.4,0.3,0.2,0.2,1.0,2.8
336,James Posey,10-11,SF,34,IND,49,0,17.1,1.7,4.9,0.336,1.4,4.3,0.316,0.3,0.6,0.483,0.475,0.2,0.3,0.733,0.2,2.8,3.0,0.7,0.5,0.1,0.5,2.1,4.9
337,Leon Powe,10-11,C-PF,27,TOT,30,3,10.9,2.0,4.0,0.496,0.0,0.1,0.0,2.0,3.9,0.504,0.496,1.3,2.4,0.556,0.8,1.3,2.1,0.2,0.3,0.1,0.4,1.5,5.3
337,Leon Powe,10-11,PF,27,CLE,14,3,13.4,2.1,4.2,0.49200000000000005,0.0,0.0,,2.1,4.2,0.49200000000000005,0.49200000000000005,0.9,1.9,0.462,1.1,1.6,2.7,0.1,0.5,0.2,0.4,1.4,5.0
337,Leon Powe,10-11,C,27,MEM,16,0,8.8,1.9,3.8,0.5,0.0,0.1,0.0,1.9,3.6,0.517,0.5,1.8,2.9,0.609,0.5,1.1,1.6,0.3,0.2,0.1,0.4,1.5,5.5
338,Josh Powell,10-11,PF,28,ATL,54,0,12.1,1.7,3.9,0.452,0.0,0.0,0.0,1.7,3.8,0.45399999999999996,0.452,0.7,0.8,0.8,0.9,1.6,2.5,0.4,0.1,0.1,1.0,1.4,4.1
339,A.J. Price,10-11,PG,24,IND,50,0,15.9,2.3,6.4,0.35600000000000004,0.8,3.0,0.275,1.5,3.4,0.42700000000000005,0.42,1.1,1.6,0.667,0.3,1.1,1.4,2.2,0.6,0.0,1.1,1.2,6.5
340,Ronnie Price,10-11,SG,27,UTA,59,0,12.2,1.3,3.6,0.35200000000000004,0.3,1.2,0.29,0.9,2.4,0.38299999999999995,0.4,0.5,0.7,0.7440000000000001,0.4,0.7,1.0,0.9,0.7,0.1,0.9,1.8,3.3
341,Tayshaun Prince,10-11,SF,30,DET,78,78,32.8,6.1,12.8,0.473,0.4,1.3,0.34700000000000003,5.6,11.6,0.486,0.49,1.5,2.2,0.7020000000000001,1.0,3.2,4.2,2.8,0.4,0.5,1.1,1.2,14.1
342,Joel Przybilla,10-11,C,31,TOT,36,9,14.4,0.7,1.2,0.568,0.0,0.0,,0.7,1.2,0.568,0.568,0.4,0.8,0.519,1.0,3.0,4.0,0.4,0.1,0.4,0.8,2.2,1.8
342,Joel Przybilla,10-11,C,31,POR,31,9,14.4,0.7,1.1,0.618,0.0,0.0,,0.7,1.1,0.618,0.618,0.4,0.7,0.565,0.9,3.0,3.9,0.4,0.2,0.5,0.7,2.0,1.8
342,Joel Przybilla,10-11,C,31,CHA,5,0,14.8,0.8,2.0,0.4,0.0,0.0,,0.8,2.0,0.4,0.4,0.2,0.8,0.25,1.8,3.0,4.8,0.0,0.0,0.2,1.4,3.2,1.8
343,Chris Quinn,10-11,PG,27,SAS,41,0,7.1,0.8,2.2,0.363,0.3,0.9,0.297,0.5,1.3,0.40700000000000003,0.423,0.1,0.2,0.5,0.1,0.5,0.6,1.0,0.1,0.0,0.3,0.7,2.0
344,Vladimir Radmanović,10-11,PF,30,GSW,74,6,15.8,1.9,4.3,0.431,0.9,2.3,0.405,0.9,2.0,0.462,0.541,0.4,0.5,0.882,0.9,2.0,2.9,1.1,0.6,0.6,0.8,2.1,5.1
345,Anthony Randolph,10-11,C-PF,21,TOT,40,3,14.8,3.1,6.6,0.466,0.0,0.1,0.25,3.1,6.5,0.469,0.46799999999999997,1.5,2.2,0.674,1.1,2.9,4.0,0.8,0.6,0.6,1.3,1.6,7.6
345,Anthony Randolph,10-11,PF,21,NYK,17,0,7.5,0.8,2.6,0.311,0.1,0.2,0.25,0.8,2.4,0.317,0.322,0.4,0.7,0.5,0.6,1.7,2.4,0.4,0.2,0.5,0.6,0.9,2.1
345,Anthony Randolph,10-11,C,21,MIN,23,3,20.1,4.7,9.5,0.498,0.0,0.0,,4.7,9.5,0.498,0.498,2.3,3.2,0.703,1.4,3.8,5.2,1.1,0.8,0.7,1.9,2.0,11.7
346,Zach Randolph,10-11,PF,29,MEM,75,74,36.3,8.0,15.8,0.503,0.1,0.6,0.18600000000000003,7.9,15.3,0.515,0.507,4.0,5.3,0.758,4.3,7.8,12.2,2.2,0.8,0.3,2.0,2.3,20.1
347,Theo Ratliff,10-11,C,37,LAL,10,0,7.1,0.1,0.6,0.16699999999999998,0.0,0.0,,0.1,0.6,0.16699999999999998,0.16699999999999998,0.0,0.2,0.0,0.6,0.7,1.3,0.3,0.2,0.5,0.3,0.7,0.2
348,Andy Rautins,10-11,SG,24,NYK,5,0,4.8,0.6,1.4,0.429,0.2,0.8,0.25,0.4,0.6,0.667,0.5,0.2,0.4,0.5,0.0,0.2,0.2,0.6,0.2,0.0,1.4,0.0,1.6
349,Michael Redd,10-11,SG,31,MIL,10,0,13.4,1.8,4.5,0.4,0.4,1.7,0.235,1.4,2.8,0.5,0.444,0.4,0.4,1.0,0.0,0.8,0.8,1.2,0.2,0.1,0.4,0.4,4.4
