team,salary,player,position,season
Minnesota Timberwolves,2016692.0,Aaron Brooks, G,2011-2012
Phoenix Suns,2005560.0,Markieff Morris, PF,2011-2012
Charlotte Bobcats,2001167.0,D.J. White, PF,2011-2012
LA Clippers,2000032.0,Chauncey Billups, PG,2011-2012
Memphis Grizzlies,2000000.0,Dante Cunningham, SF,2011-2012
Utah Jazz,2000000.0,Earl Watson, PG,2011-2012
Toronto Raptors,1990000.0,Rasho Nesterovic, C,2011-2012
Houston Rockets,1959960.0,Patrick Patterson, PF,2011-2012
Detroit Pistons,1929600.0,Austin Daye, SF,2011-2012
Los Angeles Lakers,1906200.0,Matt Barnes, SF,2011-2012
Portland Trail Blazers,1892280.0,Luke Babbitt, F,2011-2012
Milwaukee Bucks,1861920.0,Larry Sanders, PF,2011-2012
Chicago Bulls,1857500.0,Omer Asik, C,2011-2012
Houston Rockets,1823280.0,Dikembe Mutombo, C,2011-2012
Houston Rockets,1823280.0,Marcus Morris, PF,2011-2012
San Antonio Spurs,1809840.0,Kawhi Leonard, SF,2011-2012
New Jersey Nets,1728000.0,Keith Bogans, SG,2011-2012
Philadelphia 76ers,1719480.0,Nikola Vucevic, C,2011-2012
Washington Wizards,1680360.0,Kevin Seraphin, C,2011-2012
Sacramento Kings,1679914.0,Donte Greene, SF,2011-2012
New York Knicks,1675000.0,Renaldo Balkman, SF,2011-2012
Denver Nuggets,1654440.0,Ty Lawson, G,2011-2012
LA Clippers,1596360.0,Eric Bledsoe, PG,2011-2012
Atlanta Hawks,1579920.0,Jeff Teague, PG,2011-2012
Phoenix Suns,1567500.0,Sebastian Telfair, PG,2011-2012
New Orleans Hornets,1567500.0,Gustavo Ayon, PF,2011-2012
New York Knicks,1563120.0,Iman Shumpert, SG,2011-2012
Indiana Pacers,1540493.0,George Hill, PG,2011-2012
Boston Celtics,1524480.0,Avery Bradley, SG,2011-2012
Oklahoma City Thunder,1516680.0,Eric Maynor, PG,2011-2012
Miami Heat,1500000.0,Greg Oden, C,2011-2012
Toronto Raptors,1500000.0,Gary Forbes, F,2011-2012
Miami Heat,1500000.0,James Jones, SG,2011-2012
